Model,Race,Sex,Age,ROI,RelativeVolume_mean,RelativeVolume_std,RelativeVolume_median,RelativeVolume_max,RelativeVolume_min
Gemini-2.5-Pro,All,Male,<20,Hippocampus,0.00550,0.00030,0.00550,0.00610,0.00490
Gemini-2.5-Pro,All,Female,<20,Hippocampus,0.00560,0.00030,0.00560,0.00620,0.00500
Gemini-2.5-Pro,All,Male,20-29,Hippocampus,0.00540,0.00028,0.00540,0.00596,0.00484
Gemini-2.5-Pro,All,Female,20-29,Hippocampus,0.00550,0.00028,0.00550,0.00606,0.00494
Gemini-2.5-Pro,All,Male,30-39,Hippocampus,0.00530,0.00027,0.00530,0.00584,0.00476
Gemini-2.5-Pro,All,Female,30-39,Hippocampus,0.00540,0.00027,0.00540,0.00594,0.00486
Gemini-2.5-Pro,All,Male,40-49,Hippocampus,0.00515,0.00026,0.00515,0.00567,0.00463
Gemini-2.5-Pro,All,Female,40-49,Hippocampus,0.00525,0.00026,0.00525,0.00577,0.00473
Gemini-2.5-Pro,All,Male,50-59,Hippocampus,0.00500,0.00025,0.00500,0.00550,0.00450
Gemini-2.5-Pro,All,Female,50-59,Hippocampus,0.00510,0.00025,0.00510,0.00560,0.00460
Gemini-2.5-Pro,All,Male,60-69,Hippocampus,0.00485,0.00024,0.00485,0.00533,0.00437
Gemini-2.5-Pro,All,Female,60-69,Hippocampus,0.00495,0.00024,0.00495,0.00543,0.00447
Gemini-2.5-Pro,All,Male,70-79,Hippocampus,0.00470,0.00023,0.00470,0.00516,0.00424
Gemini-2.5-Pro,All,Female,70-79,Hippocampus,0.00480,0.00023,0.00480,0.00526,0.00434
Gemini-2.5-Pro,All,Male,80-89,Hippocampus,0.00455,0.00022,0.00455,0.00499,0.00411
Gemini-2.5-Pro,All,Female,80-89,Hippocampus,0.00465,0.00022,0.00465,0.00509,0.00421
Gemini-2.5-Pro,All,Male,90+,Hippocampus,0.00440,0.00021,0.00440,0.00482,0.00398
Gemini-2.5-Pro,All,Female,90+,Hippocampus,0.00450,0.00021,0.00450,0.00492,0.00408
Gemini-2.5-Pro,All,Male,<20,Entorhinal Cortex,0.00220,0.00013,0.00220,0.00246,0.00194
Gemini-2.5-Pro,All,Female,<20,Entorhinal Cortex,0.00225,0.00013,0.00225,0.00251,0.00199
Gemini-2.5-Pro,All,Male,20-29,Entorhinal Cortex,0.00215,0.00012,0.00215,0.00239,0.00191
Gemini-2.5-Pro,All,Female,20-29,Entorhinal Cortex,0.00220,0.00012,0.00220,0.00244,0.00196
